seqnames,start,end,width,strand,Conc,Conc_p53KD,Conc_Scramble,Fold,p.value,FDR,peak_id
chr1,1201484,1201984,501,*,4.03749807553229,0.0,5.03749807553229,-4.72329748243427,0.0003023828560794,0.0096463124979016,H4K16ac_loss_000001
chr1,23743333,23743833,501,*,5.29160831437774,1.93335269580596,6.21949460214027,-3.28959228267793,2.82631610123215e-05,0.0020033421624403,H4K16ac_loss_000002
chr1,27542659,27543159,501,*,4.82223602535899,1.25987917003653,5.75984454573992,-2.17645679452097,0.00239373098007,0.0421453618458237,H4K16ac_loss_000003
chr1,35268433,35268933,501,*,4.83775055888789,0.0,5.83775055888789,-6.32320557831437,3.60997888832332e-05,0.002423198328787,H4K16ac_loss_000004
chr1,39192022,39192522,501,*,4.77485626772397,0.937951075149173,5.72347176321666,-2.80354780679428,0.0006369470820853,0.0164374001622942,H4K16ac_loss_000005
chr1,45326814,45327314,501,*,5.74942377057117,4.25435935340558,6.46771744065126,-1.57647572551508,0.0007244146188077,0.0179543377061432,H4K16ac_loss_000006
chr1,148522590,148523090,501,*,4.05059823540754,0.0,5.05059823540754,-4.82506829705604,0.0002633038491271,0.0087460309472946,H4K16ac_loss_000007
chr1,153550518,153551018,501,*,4.30962773721104,0.0,5.30962773721104,-5.54389422924871,0.0001007936638007,0.0047896070129691,H4K16ac_loss_000008
chr1,153923313,153923813,501,*,4.1314743668922,0.0,5.1314743668922,-4.55349847103853,0.0004038995769124,0.0119391232735047,H4K16ac_loss_000009
chr1,161132338,161132838,501,*,4.82490301926277,0.0,5.82490301926277,-6.88505551263067,4.54602047523094e-06,0.0007709093669049,H4K16ac_loss_000010
chr1,179882436,179882936,501,*,5.68921161439847,3.41523534968818,6.5317808084655,-2.14507244966677,0.0001454120875273,0.0057310686661831,H4K16ac_loss_000011
chr1,225817803,225818303,501,*,4.6804531414222,0.0,5.65325138128865,-3.98744817848144,0.0001517420614444,0.0058905171322161,H4K16ac_loss_000012
chr1,228082099,228082599,501,*,4.61321512485571,0.0,5.61321512485571,-6.42104891213982,1.82965982883237e-05,0.0017594592408735,H4K16ac_loss_000013
chr10,79347554,79348054,501,*,5.24708694967574,2.30243792635442,6.15021086606602,-2.94737964904574,1.85666089974241e-05,0.0017594592408735,H4K16ac_loss_000014
chr10,97843009,97843509,501,*,5.38414215789438,3.59461986732458,6.15875608300228,-1.5432665538905,0.00301612773907,0.0469345852738983,H4K16ac_loss_000015
chr10,101694009,101694509,501,*,4.52465571662697,0.0,5.50463151841371,-4.16865260813796,0.0003114314456921,0.0097420593982534,H4K16ac_loss_000016
chr10,110567138,110567638,501,*,5.14912516458922,0.928739612923563,6.10989929286934,-4.11969093077552,4.84846845756798e-05,0.0030041856481315,H4K16ac_loss_000017
chr10,110871360,110871860,501,*,5.01515091305475,2.51677914059933,5.88148421562567,-1.81226477279356,0.0024207188051785,0.0423888912515506,H4K16ac_loss_000018
chr10,123153956,123154456,501,*,5.28200915803164,0.522913575870329,6.25512139030691,-4.80601420018015,7.35492568106324e-06,0.0011054787558126,H4K16ac_loss_000019
chr11,57514108,57514608,501,*,4.49150435087894,0.0,5.49150435087894,-6.01907725701251,4.60733111447812e-05,0.0029107491864408,H4K16ac_loss_000020
chr11,61871164,61871664,501,*,4.72623146258673,2.25251471140557,5.59014870320866,-1.75397581540574,0.0031113872659497,0.0470652101919716,H4K16ac_loss_000021
chr11,62727802,62728302,501,*,5.65661723424054,2.34377711220241,6.58213674893474,-2.62907312882693,0.000516394210785,0.0144680186708651,H4K16ac_loss_000022
chr11,64241166,64241666,501,*,6.20395220668941,4.24347885739659,7.00557101178232,-2.22901707671132,1.79147104377487e-06,0.0005174653024612,H4K16ac_loss_000023
chr11,64305229,64305729,501,*,5.5035248824869,2.15113203426001,6.43111002663233,-2.16281059836227,0.0022462589961987,0.0404326619315777,H4K16ac_loss_000024
chr11,69010952,69011452,501,*,5.384789960145,0.0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.0001511036824416,H4K16ac_loss_000025
chr11,69658664,69659164,501,*,5.33908006009513,2.59607528208403,6.22709388821146,-2.4009087954107,0.0002263090756501,0.0079257374102702,H4K16ac_loss_000026
chr11,69820276,69820776,501,*,4.76112319694959,2.39403987215541,5.61405120928896,-1.84033744222388,0.0015640746410718,0.0307283444727661,H4K16ac_loss_000027
chr11,73142783,73143283,501,*,4.90241499345439,0.0,5.90241499345439,-6.74995218438461,1.07498250155754e-05,0.001443164008341,H4K16ac_loss_000028
