region_id,chrom,start,end,Scramble replicate 1,Scramble replicate 2,p53KD replicate 1,p53KD replicate 2
ENSG00000124181.17,chr20,41136930,41136931,0.14519472277650494,0.31132136636879293,0.06880143900983966,0.0056490515923360365
ENSG00000188186.12,chr7,100148887,100148888,0.14295344371779356,0.048239291891455656,0.00684831098893483,-0.019004266515228668
ENSG00000160993.6,chr7,102464898,102464899,0.19393678634797104,0.1936975814597681,0.011195352034526884,-0.0287164590904431
ENSG00000172935.12,chr11,69014406,69014407,0.11725760499783792,0.07462149905227125,0.08437247786507943,0.10628542069834657
ENSG00000115904.17,chr2,39124344,39124345,0.19696409005671744,0.2768428422044963,0.0005297576622106153,-0.006340745591762243
ENSG00000139880.22,chr14,23057667,23057668,0.061810671823332095,-0.07202793454634956,-0.01795636250419193,-0.015889801268815062
ENSG00000159063.16,chr11,78139659,78139660,0.09059051941800864,0.04788927055336536,0.10031282360071783,0.001563643587665861
ENSG00000178035.15,chr3,49029451,49029452,0.15962617379066074,0.14700152953498766,0.007765255871345289,-0.04673521695804084
ENSG00000286264.3,chr11,64241094,64241095,0.3423975454439933,0.4424730149360839,0.07018759110651446,0.035260312159171005
ENSG00000179115.13,chr19,12934036,12934037,0.2288902622917667,-0.008081737684085962,-0.07815151798957959,-0.03522030407062266
ENSG00000166526.21,chr7,100082705,100082706,0.28198989338052344,0.295437660892494,0.03669182014331454,-0.09435001411300618
ENSG00000008283.18,chr17,63447107,63447108,0.29149054631483157,0.39024764015697294,0.10310037979250775,0.110362687662011
ENSG00000204217.17,chr2,202375834,202375835,0.17410584990194183,0.29991536372853445,0.05594969076942651,0.06621495782295823
ENSG00000175662.21,chr17,17972469,17972470,0.14225853454781462,-0.034962623436702416,-0.005820229713339355,0.009044292646169197
ENSG00000133627.20,chr7,152759730,152759731,0.1269282584777102,0.03348925589583814,0.01439290666487068,0.03164054650929757
ENSG00000174326.17,chr17,7044091,7044092,0.09620691306539811,0.08871357371332124,-0.052862860288703815,0.0029115595886250955
ENSG00000158796.19,chr1,161133279,161133280,0.1956790962710511,0.03419532175990754,0.05438810189173091,-0.008212807596777567
ENSG00000225614.4,chr16,88382958,88382959,0.10762482487992382,-0.0011237469413317746,0.06279499406507238,0.03005207141302526
ENSG00000154473.20,chr10,123154364,123154365,0.24974039558507502,0.20828506178804682,0.04214440927200485,-0.013309191139531324
ENSG00000079616.16,chr16,29790136,29790137,0.15035160043142967,0.2805248076638673,0.06375389531697147,-0.01290177810037858
ENSG00000037749.15,chr5,154038954,154038955,0.16142708638924524,0.07746418326254935,0.028068295293371195,0.017393712297547614
ENSG00000137478.17,chr11,73142484,73142485,0.15735299675105488,0.3171931820283644,0.10164923026785255,0.03389273431521725
ENSG00000145833.18,chr5,134758770,134758771,0.13463535720075015,0.014319596256536898,-0.06323401691275649,-0.02587591528717894
ENSG00000171863.17,chr2,3575197,3575198,0.3687606270557444,0.4123857988384552,0.13393591049528916,0.057694662033696664
ENSG00000099860.12,chr19,2476121,2476122,0.12124264277121984,0.055073464221553875,0.10709901532027288,0.06390663218992995
ENSG00000184254.20,chr15,100861923,100861924,0.06651728598686167,0.05634448964893818,0.02066098235710524,0.014897872651810758
ENSG00000169223.18,chr5,177351839,177351840,0.12964063816348786,0.16093231459474194,-0.040939638215582816,0.006060977988992817
ENSG00000131368.11,chr3,15065338,15065339,0.13591586732695576,0.09293264586888834,-0.034398544200812474,-0.002249875545065152
ENSG00000105227.18,chr19,40415069,40415070,0.046594207147660216,0.08458625145524275,0.046925489548011685,0.04192120208207053
ENSG00000165516.13,chr14,49767539,49767540,0.12335178608933349,0.1568385659579653,-0.008082219996023923,0.026977324802603106
ENSG00000143761.19,chr1,228081840,228081841,0.2336698493192671,0.11023777145746863,0.09546361572050956,-0.013120426701789256
ENSG00000108179.16,chr10,79347460,79347461,0.16140361429133918,0.19898593315621838,0.016103310622856953,-0.011248744823096785
ENSG00000149257.18,chr11,75561563,75561564,0.2688916291128553,0.30072985539078945,0.02543749869754538,0.03614506836494548
ENSG00000183762.15,chr22,29072936,29072937,0.005040165184531359,0.05576557047106325,0.06609165406983812,0.03753295752988197
ENSG00000079999.16,chr19,10503557,10503558,0.20176628644327863,0.12291577111187507,-0.025267333807656542,0.07270736551552547
ENSG00000129255.18,chr17,7583213,7583214,0.3757841537218482,0.2741084642279893,0.1311792564856587,0.025947218539309688
ENSG00000122515.18,chr7,44748547,44748548,0.17111183115010498,0.08435631045186892,0.045998893728014086,-0.01683342871023342
ENSG00000110400.12,chr11,119729487,119729488,0.20802683967960178,0.07472770198551007,0.08264789838166325,0.021948046820471065
ENSG00000163535.20,chr2,200510007,200510008,0.07951883503189315,-0.01668671807576902,-0.033363382198149334,-0.044350082911987554
ENSG00000136938.11,chr9,97983125,97983126,0.32323967234697193,0.47158849728293717,0.10400149807901471,0.07900133617513347
ENSG00000011007.15,chr1,23743152,23743153,0.17284198605886197,0.14838932223006848,0.04627197301178239,0.020873904246720483
ENSG00000176531.14,chr19,43505300,43505301,0.17875980730023003,0.1177767577348277,0.015607923839706928,-0.00877627446607221
ENSG00000076258.12,chr1,171314090,171314091,-0.011986676798551343,-0.007902510276180693,-0.02650559282294125,-0.028860814101644792
ENSG00000153044.12,chr5,69189536,69189537,0.13713405582564883,0.11245552594272884,0.007526064893812873,-0.059932508851925366
ENSG00000146463.14,chr1,35268663,35268664,0.11039235494748573,0.14205991104198623,-0.0394804724221176,-0.020267506831325593
ENSG00000100226.18,chr22,38705741,38705742,0.1717299781946349,0.20214273713645525,-0.043582032060949134,-0.005426172413106543
ENSG00000126522.19,chr7,66075799,66075800,0.09715405454853315,0.01701191311376169,0.018156049092969622,-0.03703189925593324
ENSG00000149150.11,chr11,57515779,57515780,0.18111161906181952,0.1362883003933821,0.0819123000280233,-0.034158616693603115
ENSG00000108055.13,chr10,110567667,110567668,0.21832931070902853,0.0908602096053073,-0.021774339801631862,-0.028079870747926176
ENSG00000179409.12,chr17,753998,753999,0.25415529201581377,0.22491302145883668,0.05359538735612295,0.009318135020701446
ENSG00000140443.15,chr15,98648538,98648539,0.14697890607640146,0.11042111657885835,0.07074023026321083,0.03563048262149096
ENSG00000130204.15,chr19,44890568,44890569,0.2700308092185587,0.20340976892085746,-0.036455263193813155,-0.03945486398538924
ENSG00000196428.15,chr3,150408240,150408241,0.15281700453604571,0.0774648833181709,0.01785986877977848,0.06951943836640567
ENSG00000048544.9,chr6,42217880,42217881,0.18004412121721544,0.1017891664954368,-0.021737308737356215,-0.01845308669959195
ENSG00000169139.14,chr8,48008409,48008410,0.20600925704557452,0.23824937142324049,-0.03961582634795923,-0.03193056415615137
ENSG00000175906.7,chr17,43398149,43398150,0.05774667060954378,0.15811567313130945,0.04467931990366196,-0.010628684908966533
ENSG00000059804.20,chr12,8019006,8019007,0.054607770751405035,0.09377337847929448,-0.02032652552420041,-0.004631621009786615
ENSG00000125810.12,chr20,23086392,23086393,0.034199705921811985,0.07326342111919075,0.0186642027143389,0.04378419047093485
ENSG00000101040.22,chr20,47357805,47357806,0.6138198298867792,0.3818839935600408,0.32710076901712454,0.29070583774839176
ENSG00000159884.13,chr9,35658276,35658277,0.3120672814653954,0.2006718337750062,-0.014777854420943187,0.024505750908458142
ENSG00000139626.18,chr12,53207309,53207310,0.0166937418137677,0.052288617245270876,-0.05894779902664595,0.055085461649810895
ENSG00000111057.13,chr12,52945687,52945688,0.2592513332901872,0.16406556911137887,0.02472036936180666,0.011088656622159758
ENSG00000188015.12,chr1,153550150,153550151,0.1261678144299367,0.08678416346883751,0.09863655804801966,-0.029683043467230164
ENSG00000106804.12,chr9,121075194,121075195,0.09175274505343989,0.18592383689433337,0.024007861602585764,-0.022617665154510184
ENSG00000285292.1,chr7,151227165,151227166,0.18422754876723046,0.11300632755970583,-0.08795610058878083,0.003057845141302096
ENSG00000163389.14,chr3,119468790,119468791,0.13385503475990845,0.018523300335364184,-0.004237669619033113,-0.021601797384792006
ENSG00000030110.16,chr6,33580304,33580305,0.10642810977724727,-0.008748432535561729,0.06186061403912027,0.03719848456908949
ENSG00000198720.15,chr17,29589768,29589769,0.20212160134565785,0.22705166116770123,0.0952902838322334,0.1373572593436111
ENSG00000174485.18,chr15,65792306,65792307,0.08808826562506146,-0.03821664972088183,0.024154792966321118,0.007432912611111533
ENSG00000155660.13,chr7,149028666,149028667,0.16102527035831005,0.08985970556066604,-0.015466416022507474,-0.01454092104258598
ENSG00000197461.15,chr7,520704,520705,0.2267578603986185,0.1953537323041819,0.15110157427284865,0.05441782061592677
ENSG00000106683.17,chr7,74082932,74082933,0.08698105266992934,0.10050024588318776,0.09836671619836125,-0.00693922777788248
ENSG00000177303.12,chr17,75515620,75515621,0.14804964779686997,0.2432748567557428,0.022328115097334376,0.046307351083669346
ENSG00000162244.14,chr3,51996020,51996021,0.23673345556555433,0.14151530320872552,0.042772952861269004,0.04286151932028588
ENSG00000141522.15,chr17,81871377,81871378,0.3444333374327979,0.41076600934006285,0.1950335108877625,0.08240783356357133
ENSG00000063244.16,chr19,55654114,55654115,0.43125534836552104,0.6431651967681247,0.17577364533371287,0.06662123472290114
ENSG00000127804.14,chr17,2511903,2511904,0.20860523237095913,0.06390563757019116,0.016063646526075896,-0.04105971828883049
ENSG00000169905.15,chr1,179883033,179883034,0.28763006009743547,0.13864254491287284,-0.05253030970063992,-0.022290243318071595
ENSG00000180822.14,chr6,3231402,3231403,0.10695924295991427,-0.05611866089282557,0.01951740727294237,-0.07138883597927634
ENSG00000143819.15,chr1,225810047,225810048,0.028668518749356737,0.08740285375388339,0.05242556491715367,0.019821551634231584
ENSG00000242802.11,chr7,4775609,4775610,0.17738961415909582,0.13805339119397106,-0.0012847231362247786,0.056118525690806574
ENSG00000164070.14,chr4,127781820,127781821,0.11158575786452275,0.05815882940660231,-0.03846213553333655,0.026820188525598497
ENSG00000288715.2,chr16,89418291,89418292,-0.0096050424236455,-0.054679124408867213,-0.04969019315997139,0.008478545896534344
ENSG00000249240.2,chr15,64841882,64841883,0.07809905382455326,0.0991298738064943,0.011467578469309956,0.008152182575257034
ENSG00000046647.17,chrX,14029927,14029928,0.1876180682709091,0.11583916060393676,0.017524308657477373,-0.004257030517444944
ENSG00000111911.9,chr6,125956732,125956733,0.11243269284663258,0.04592683137743734,-0.08486281711678022,-0.010488311395456551
ENSG00000169562.15,chrX,71212810,71212811,0.13312578026292612,0.025693828226067125,-0.04431651160120964,-0.041824758790899065
ENSG00000197021.11,chrX,149938880,149938881,0.1437918262463063,0.11324674064759165,0.08724235146597493,-0.02970636223850306
ENSG00000149716.15,chr11,69675415,69675416,0.18676196210930357,0.14277184240869245,0.005169261420014663,0.009869136916531716
ENSG00000088808.20,chr14,103847615,103847616,0.12381237347944989,0.16959149095928297,0.1599074409971945,0.014008337930426933
ENSG00000164045.14,chr3,48188427,48188428,0.1593978324155905,0.1968727267538197,0.11256461285124533,0.03761417124135187
ENSG00000144063.6,chr2,110116074,110116075,0.098185358709743,0.04325114319799468,0.0823827008550288,-0.024663798164227046
ENSG00000140332.20,chr15,70098175,70098176,0.16485740841308144,0.23475278273690492,0.10901006385684013,0.08043923015502515
ENSG00000236334.3,chr1,148483301,148483302,0.03927471629469073,-0.030741762350953654,-0.03507736097250017,0.047603382375207726
ENSG00000171853.18,chr2,3379668,3379669,0.2850082649351098,0.1438341208901256,0.06334374223614576,0.06113641625689342
