gene_id,Gene,chr,start,end,strand,Scramble_rep1_promoter,Scramble_rep1_body,Scramble_rep2_promoter,Scramble_rep2_body,KD_rep1_promoter,KD_rep1_body,KD_rep2_promoter,KD_rep2_body,Scramble_promoter,KD_promoter,Scramble_body,KD_body,ratio_log2FC,Rank
ENSG00000292259.1,ENSG00000292259,chr12,111842236,111842368,+,0.13164389323288925,0.21903025703222462,0.04830149915139191,0.8614098267121748,0.02714833429083228,0.038658888841217216,0.013809557333705015,0.17130864863142822,0.08997269619214057,0.020478945812268647,0.5402200418721997,0.10498376873632272,-0.36574252275600505,1
ENSG00000063244.16,U2AF2,chr19,55654114,55674717,+,0.43125534836552104,0.0897647350433604,0.6431651967681246,0.12144331739342795,0.17577364533371292,0.02113530184207158,0.06662123472290113,0.02606000042185191,0.5372102725668229,0.12119744002830703,0.10560402621839418,0.023597651131961744,0.33400645745208335,2
ENSG00000289325.1,ENSG00000289325,chr10,66926307,66926346,+,-0.032394161995878676,-0.08364880084991455,0.0261753074163571,0.6136871392910297,0.010087586524517973,-0.06791319698095322,-0.04103734042297583,-0.07851689480818234,-0.003109427289760788,-0.01547487694922893,0.26501916922055757,-0.07321504589456779,-0.32586876545565724,3
ENSG00000078487.20,ZCWPW1,chr7,100400825,100428992,-,0.5901724083370645,0.05310268297561072,0.5185412714786362,-0.014778915683634656,0.28175414139483473,-9.753744418354533e-05,0.12374031643907074,-0.016636181319324782,0.5543568399078503,0.20274722891695274,0.01916188364598803,-0.008366859381754164,0.3240808679631554,4
ENSG00000288625.1,ENSG00000288625,chr15,81002141,81002279,+,0.08714236760031781,0.2744461884317191,0.2932157404713798,0.6936973493168319,0.09866373159037903,0.13548633639795193,0.028988421260146426,-0.009983722687415455,0.1901790540358488,0.06382607642526272,0.4840717688742755,0.06275130685526824,-0.29496748440842113,5
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+,0.1290221323898004,0.26304867010821337,0.13185261342441662,0.6440085921459978,0.048046766843879596,0.04524381845346037,0.04799643472663592,0.1268343991430113,0.1304373729071085,0.04802160078525776,0.4535286311271056,0.08603910879823584,-0.285073750207019,6
ENSG00000184270.6,H2AC21,chr1,149887468,149887965,-,0.19061031167389592,0.17505085964497905,0.09339918231545016,-0.04936643725849493,0.06279611093515997,0.2594858774956563,0.1091544838071568,0.32381548518521086,0.14200474699467303,0.08597529737115839,0.06284221119324206,0.2916506813404336,0.2848379197707062,7
ENSG00000285816.1,ENSG00000285816,chr11,65261927,65326543,+,0.27052442170184804,0.052947666913974054,0.33290866441028905,0.001377511053685946,0.047232781830243764,0.023933562409038732,-0.034963347769516984,-0.011198761839292422,0.30171654305606854,0.00613471703036339,0.027162588983829998,0.006367400284873155,0.2747866373267483,8
ENSG00000014138.12,POLA2,chr11,65261834,65305959,+,0.2694106618638034,0.045077617428028065,0.3334636536643911,0.004810261560063123,0.04865548069309443,0.021576926233133474,-0.03333367442636518,-0.010801264574099596,0.3014371577640973,0.007660903133364625,0.024943939494045594,0.005387830829516939,0.27422014596620403,9
ENSG00000108106.16,UBE2S,chr19,55385310,55408164,-,0.2919439230975695,0.019253885465860703,0.3856214729733765,0.041256709815816126,0.0733627020145941,0.009776113093376476,-0.01645881654767436,-0.027449803408722488,0.338782698035473,0.028451942733459874,0.030255297640838414,-0.008836845157673006,0.27123861250350173,10
ENSG00000221838.14,AP4M1,chr7,100100840,100110345,+,0.4401144273031969,0.21946182052857405,0.4124536005349364,0.17370206977939845,0.16779300195456018,0.13938981740868236,-0.057967397415777666,0.04634408995647303,0.4262840139190667,0.054912802269391256,0.19658194515398625,0.09286695368257769,0.26765622017826685,11
ENSG00000105771.16,SMG9,chr19,43727982,43755605,-,0.48087048084745765,0.09718931899490052,0.44352709780901206,0.04390882707547843,0.23544379301031587,0.07259666386329011,0.09772414553305134,0.012378946120184827,0.4621987893282349,0.16658396927168362,0.07054907303518948,0.04248780499173747,0.26755355201309927,12
ENSG00000010292.15,NCAPD2,chr12,6493355,6531970,+,0.3971642046200577,0.05010180745599303,0.20492654508445413,0.006009612248304358,0.10884803193097468,0.01683396561137662,-0.0844235170095635,-0.005164428878957595,0.3010453748522559,0.012212257460705589,0.028055709852148697,0.005834768366209512,0.26661217590561115,13
ENSG00000229117.11,RPL41,chr12,56116584,56117967,+,0.4611623932593502,0.718206487967756,0.40880559784988874,0.7427437375141381,0.31674659383785914,0.3968179668592786,0.12864792208449216,0.11544068787746611,0.4349839955546195,0.22269725796117565,0.730475112740947,0.25612932736837235,-0.2620590477791309,14
ENSG00000119640.11,ACYP1,chr14,75052936,75069486,-,0.3434384797871462,0.08041263348026921,0.36725527484406484,-0.021050215708323983,0.054687653385917655,-0.000859791223702564,0.05261892121183337,-0.021256361312867393,0.35534687731560555,0.053653287298875516,0.029681208885972615,-0.01105807626828498,0.2609543048624724,15
ENSG00000141258.15,SGSM2,chr17,2337487,2381058,+,0.28903389976779,0.06632689525558354,0.41261575496941805,0.0035993629221652613,0.07911777786328457,0.03484458046481557,0.08155009816185338,0.01040717021562095,0.350824827368604,0.08033393801256897,0.034963129088874396,0.02262587534021826,0.2581536356073789,16
ENSG00000136938.11,ANP32B,chr9,97983125,98017079,+,0.32323967234697193,0.0403687910967364,0.47158849728293717,0.010179184269918826,0.10400149807901471,-0.01709982561834151,0.07900133617513347,-0.03070745262081443,0.39741408481495455,0.09150141712707409,0.02527398768332761,-0.02390363911957797,0.2567350408849749,17
ENSG00000198900.8,TOP1,chr20,41028814,41124487,+,0.23578695427876664,0.005896143707940757,0.3323269252994214,-0.009946216567461941,0.10161212843423709,0.047995274119393555,0.07843176974149538,0.07075522066541283,0.284056939789094,0.09002194908786623,-0.002025036429760592,0.05937524739240319,0.2554352745233916,18
ENSG00000289051.1,MLDHR,chr10,87863558,87863654,+,0.06123685350440792,0.20488729638357958,0.05379102466581389,0.37431351840496063,0.038774875010218236,0.0,0.0037652665660716594,0.0,0.057513939085110904,0.021270070788144947,0.2896004073942701,0.0,-0.25335653909730416,19
ENSG00000171848.18,RRM2,chr2,10120697,10213114,+,0.5428683880173194,0.06614158689727109,0.4931159257874824,0.05270310424913567,0.2870084050511941,0.03292377955925203,0.1785872312367428,0.019720421100322776,0.5179921569024009,0.23279781814396847,0.05942234557320338,0.0263221003297874,0.25209409351501644,20
ENSG00000288608.1,ENSG00000288608,chr7,151061927,151061978,+,0.2965969501190702,-0.02401206026985949,0.12602074634330346,-0.021303026663029894,0.07326748768164544,0.10129593093605603,0.10806958868924994,0.11614969471359954,0.21130884823118684,0.09066853818544769,-0.02265754346644469,0.10872281282482779,0.25202066633701165,21
ENSG00000106266.13,SNX8,chr7,2251769,2354318,-,0.4701911736786133,0.059134760401226394,0.4122345810789266,0.025283273921079624,0.22182370984833688,0.03016896367702723,0.11584540209418992,0.010009414441927253,0.4412128773787699,0.1688345559712634,0.04220901716115301,0.020089189059477243,0.2502584933058307,22
ENSG00000172375.16,C2CD2L,chr11,119102197,119118544,+,0.2468304460158979,0.08887685880064622,0.3523710122574121,0.0770306043305661,0.017726233362103813,0.06857768982545047,-0.004930607440008316,0.008580497470179577,0.299600729136655,0.0063978129610477484,0.08295373156560616,0.038579093647815026,0.24882827825781612,23
ENSG00000126005.19,MMP24OS,chr20,35201744,35278131,-,0.25596604310296245,0.01843146346420576,0.20716942609578837,0.016908588206007137,-0.017580582983791827,0.019193425499587715,-0.018062157059466698,0.014332143524266512,0.2315677345993754,-0.017821370021629264,0.017670025835106448,0.016762784511927115,0.24848186329782532,24
ENSG00000076984.20,MAP2K7,chr19,7903822,7914480,+,0.3006033401100431,0.06368661635781385,0.2500928962561302,0.06945458302848624,0.05212648708370398,0.07002000605562674,-0.019833579419733724,0.04010657189369952,0.27534811818308663,0.016146453831985128,0.06657059969315005,0.05506328897466313,0.24769435363261458,25
ENSG00000071655.20,MBD3,chr19,1573595,1592911,-,0.31750823665512146,0.10931049788226903,0.4518458678579191,0.07973700351766733,0.10464020090119447,0.023817374744303503,0.023213225968938787,0.019016682495602493,0.38467705225652027,0.06392671343506663,0.09452375069996818,0.021417028619952996,0.24764361674143845,26
ENSG00000283268.2,TEX54,chr11,62832320,62832841,-,0.12596916623486323,0.27882505405601293,0.07172158514149488,0.16927412141207426,0.118611311765344,-0.1068153561605945,-0.05845159397402313,-0.0777629380455802,0.09884537568817905,0.030079858895660432,0.2240495877340436,-0.09228914710308735,-0.24757321804461235,27
ENSG00000166526.21,ZNF3,chr7,100056867,100082706,-,0.28198989338052344,0.03552394901628142,0.295437660892494,0.03650383967069672,0.03669182014331454,-0.01751972624765419,-0.09435001411300618,-0.051081259900461924,0.2887137771365087,-0.02882909698484582,0.03601389434348907,-0.03430049307405806,0.24722848670380743,28
ENSG00000113368.14,LMNB1,chr5,126776622,126837242,+,0.32967494091621485,0.000864032048626266,0.3910830825169105,-0.02098818285583659,0.11035582405200693,-0.0407876207280368,0.06372230283886893,-0.03347835238213594,0.36037901171656267,0.08703906344543794,-0.010062075403605162,-0.03713298655508637,0.24626903711964354,29
ENSG00000139641.15,ESYT1,chr12,56118249,56150107,+,0.551014572882792,0.08600989952556064,0.47342427624133415,0.005299675532295573,0.2862770776533289,0.007442234334629386,0.16311645876505645,-0.0003964787123670327,0.512219424562063,0.22469676820919265,0.045654787528928105,0.0035228778111311763,0.24539074663507346,30
ENSG00000179761.14,PIPOX,chr17,28950512,29057583,+,0.25524627636326475,0.037115610102520444,0.4586371810622513,0.036054456518561116,0.10526248234795639,0.036068796060839875,0.11544240903190803,0.03358897217224398,0.35694172871275803,0.11035244568993222,0.03658503331054078,0.034828884116541926,0.244833133828827,31
ENSG00000168906.15,MAT2A,chr2,85539162,85545281,+,0.6502286636407952,0.1056098190942086,0.5887767560994253,0.14210957247906333,0.29617364092264326,0.02491456041717392,0.1761750835342682,-0.05830594509602805,0.6195027098701102,0.23617436222845573,0.12385969578663597,-0.016695692339427068,0.24277295951559147,32
ENSG00000146676.10,PURB,chr7,44876298,44885530,-,0.3188498648540117,0.012914639321217182,0.16153561800601893,-0.062046924086384056,0.047134041933779375,0.016748017803761294,-0.007692700084182434,-0.024392908569654342,0.2401927414300153,0.01972067092479847,-0.024566142382583436,-0.003822445382946524,0.24121576750485374,33
ENSG00000169139.14,UBE2V2,chr8,48008409,48067523,+,0.2060092570455745,-0.004002331815678968,0.2382493714232405,0.004379131994374426,-0.03961582634795923,-0.011066383005041133,-0.03193056415615138,-0.024021210384817603,0.22212931423440752,-0.0357731952520553,0.0001884000893477289,-0.017543796694929368,0.2401703127021857,34
ENSG00000011304.24,PTBP1,chr19,797074,812327,+,0.32327266891192996,0.05475000675298366,0.3201891559120268,0.033347256662258004,-0.014124723065237049,-0.0014298023179343579,0.07847015691676643,-0.010557982379202788,0.3217309124119784,0.03217271692576469,0.04404863170762083,-0.005993892348568573,0.23951567143002428,35
ENSG00000239704.14,CDRT4,chr17,15433936,15475733,-,0.38742363484291126,0.10089227036082465,0.4359367821952328,0.08053528118152843,0.08904336373513798,0.031539979607328544,0.12132959013851359,0.015299766311656688,0.41168020851907206,0.10518647693682578,0.09071377577117654,0.023419872959492615,0.23919982877056234,36
ENSG00000113649.16,TCERG1,chr5,146447310,146511963,+,0.19599070690630468,-0.00416835738012355,0.2804157800987014,-0.058143427768677765,-0.024255805310676806,-0.06376690240298956,-0.04868351497265394,-0.07232924835403601,0.23820324350250305,-0.036469660141665375,-0.031155892574400657,-0.06804807537851279,0.2377807208400563,37
ENSG00000119638.16,NEK9,chr14,75079352,75127344,-,0.22295431648846717,0.017747373453807534,0.31618947941716763,-0.016420369775608783,0.02299450906101265,-0.01661677343449133,0.02395080435788259,-0.005671192315347386,0.2695718979528174,0.02347265670944762,0.0006635018390993754,-0.011143982874919358,0.23429175652935103,38
ENSG00000172115.11,CYCS,chr7,25080178,25125367,-,0.16463236564362888,-0.009187051884430236,0.18177173205825967,-0.025410780789227008,-0.09949744207807816,-0.038835933282659454,-0.0494527620941517,-0.02323673764645679,0.17320204885094426,-0.07447510208611494,-0.01729891633682862,-0.031036335464558123,0.2339397318093297,39
ENSG00000261221.7,ZNF865,chr19,55605501,55617269,+,0.33254832935592277,0.06913465248441768,0.2792513324776664,0.052311147426642515,0.04686630596139003,0.04974579801419316,0.045757115845131924,0.019661740735194593,0.3058998309167946,0.04631171090326097,0.060722899955530096,0.034703769374693876,0.23356898943269738,40
ENSG00000087087.22,SRRT,chr7,100875064,100888664,+,0.4819014664443093,0.05609643849753946,0.37191230835812167,0.05330518967086819,0.15800271817611064,0.013665060628280865,0.09106498553475831,-0.043536252891816035,0.4269068874012155,0.12453385185543447,0.054700814084203825,-0.014935596131767585,0.2327366253298096,41
