gene_id,Gene,chr,start,end,strand,Scramble_rep1,Scramble_rep2,KD_rep1,KD_rep2,Scramble_signal,KD_signal,Difference,log2FC,Direction,Rank_gain,Rank_loss,Rank
ENSG00000188342.15,GTF2F2,chr13,45120439,45284908,+,0.06966065445161075,0.14136871528229678,0.38170607183910576,0.257161762694348,0.10551468486695376,0.3194339172667269,0.21391923239977312,0.21391923239977312,gain,1,16682,1
ENSG00000203852.4,H3C15,chr1,149852607,149853125,+,0.603605205386877,0.5254755247142165,0.3492950853706202,0.3691596821490675,0.5645403650505467,0.35922738375984387,-0.20531298129070286,-0.20531298129070286,loss,16682,1,2
ENSG00000178386.15,ZNF223,chr19,44051366,44069308,+,0.05404047002841253,0.017159127165796234,0.2000813585760502,0.2716786525430798,0.03559979859710438,0.235880005559565,0.20028020696246063,0.20028020696246063,gain,2,16681,3
ENSG00000136997.22,MYC,chr8,127735433,127742951,+,0.6171996219275752,0.6801152353659272,0.820703915533144,0.8684490595117405,0.6486574286467512,0.8445764875224422,0.19591905887569094,0.19591905887569094,gain,3,16680,4
ENSG00000111667.16,USP5,chr12,6852097,6866632,+,0.20664158001879696,0.17725040325534064,0.4052769378404382,0.3362789049302228,0.1919459916370688,0.3707779213853305,0.1788319297482617,0.1788319297482617,gain,4,16679,5
ENSG00000101213.9,PTK6,chr20,63526305,63537770,-,0.2885846490862314,0.24580128461917047,0.40820102370478434,0.4714729625647742,0.26719296685270094,0.4398369931347793,0.17264402628207837,0.17264402628207837,gain,5,16678,6
ENSG00000101040.22,ZMYND8,chr20,47209213,47357806,-,0.9787031026998011,0.9170726224780082,1.0972791516594589,1.1411333241313697,0.9478878625889047,1.1192062378954142,0.1713183753065095,0.1713183753065095,gain,6,16677,7
ENSG00000111665.14,CDCA3,chr12,6844722,6852353,-,0.20268574685195925,0.18374353257624898,0.40216768932987634,0.3214203956850979,0.19321463971410413,0.36179404250748715,0.16857940279338302,0.16857940279338302,gain,7,16676,8
ENSG00000288859.2,H2AC19,chr1,149851060,149851652,+,0.4856882282701554,0.40891231401590633,0.2730006432288792,0.284720173421083,0.44730027114303084,0.2788604083249811,-0.16843986281804973,-0.16843986281804973,loss,16681,2,9
ENSG00000203811.2,H3C14,chr1,149840686,149841208,-,0.5330854328908026,0.5187417945694178,0.37783591147884726,0.33900015073269607,0.5259136137301101,0.35841803110577164,-0.1674955826243385,-0.1674955826243385,loss,16680,3,10
ENSG00000129351.20,ILF3,chr19,10654260,10692415,+,0.6125134469702607,0.46525162657031616,0.3982461924372956,0.357655099099502,0.5388825367702884,0.37795064576839876,-0.16093189100188965,-0.16093189100188965,loss,16679,4,11
ENSG00000161277.13,THAP8,chr19,36033392,36054739,-,0.210096803554683,0.16755551278556233,0.29873847646592183,0.4007254739983473,0.18882615817012266,0.34973197523213456,0.1609058170620119,0.1609058170620119,gain,8,16675,12
ENSG00000162191.16,UBXN1,chr11,62676497,62679332,-,0.25238788061431844,0.1830712613484793,0.3821114914661739,0.3712622472580988,0.2177295709813989,0.37668686936213636,0.15895729838073747,0.15895729838073747,gain,9,16674,13
ENSG00000177239.18,MAN1B1,chr9,137085916,137109189,+,0.4801998041837942,0.42773452900124537,0.31330555059481413,0.27700817370880393,0.4539671665925198,0.29515686215180903,-0.15881030444071076,-0.15881030444071076,loss,16678,5,14
ENSG00000075702.20,WDR62,chr19,36054648,36105112,+,0.21041803347447421,0.16769985664047998,0.2955194832258858,0.3996664360521827,0.1890589450574771,0.34759295963903425,0.15853401458155714,0.15853401458155714,gain,10,16673,15
ENSG00000115520.11,COQ10B,chr2,197453437,197475488,+,0.13259292701538652,0.13925780484033748,0.32787472734399714,0.25904606483416864,0.135925365927862,0.2934603960890829,0.15753503016122092,0.15753503016122092,gain,11,16672,16
ENSG00000138435.16,CHRNA1,chr2,174747591,174787935,-,0.12112580636574422,0.142939353132213,0.40110468142462197,0.17377649014635244,0.1320325797489786,0.2874405857854872,0.1554080060365086,0.1554080060365086,gain,12,16671,17
ENSG00000106009.18,BRAT1,chr7,2537783,2555782,-,0.37078515309956855,0.3329610225846991,0.2641420157128014,0.12902581565592847,0.35187308784213384,0.19658391568436492,-0.1552891721577689,-0.1552891721577689,loss,16677,6,18
ENSG00000290146.1,ENSG00000290146,chr12,6970920,6997428,+,0.40029998566256836,0.39461052923121315,0.5169954451441299,0.5870376367750577,0.39745525744689075,0.5520165409595938,0.1545612835127031,0.1545612835127031,gain,13,16670,19
ENSG00000078304.22,PPP2R5C,chr14,101761638,101928953,+,0.10680191735131667,0.05414615904647508,0.2731401036612224,0.18861046655324754,0.08047403819889587,0.23087528510723496,0.1504012469083391,0.1504012469083391,gain,14,16669,20
ENSG00000183208.15,GDPGP1,chr15,90233470,90245811,+,0.22964619027799926,0.2121371455337794,0.07255478911903084,0.07102882035193034,0.22089166790588932,0.07179180473548058,-0.14909986317040874,-0.14909986317040874,loss,16676,7,21
ENSG00000288825.1,H2AC18,chr1,149842217,149842750,-,0.4138535367245786,0.4029571598242037,0.25594684600364415,0.26314527115284,0.4084053482743911,0.2595460585782421,-0.14885928969614903,-0.14885928969614903,loss,16675,8,22
ENSG00000062485.21,CS,chr12,56271698,56300395,-,0.2547420652926667,0.18288034147539292,0.3597784886476229,0.3749737089138798,0.21881120338402982,0.3673760987807514,0.14856489539672157,0.14856489539672157,gain,15,16668,23
